customer_number,household_size,quarter,amount
102,9,"Q1 Balance",44
103,2,"Q1 Balance",1982
104,5,"Q1 Balance",237
105,5,"Q1 Balance",1260
106,5,"Q1 Balance",1349
107,3,"Q1 Balance",1934
108,3,"Q1 Balance",1837
109,1,"Q1 Balance",1538
110,5,"Q1 Balance",1517
111,2,"Q1 Balance",1860
112,1,"Q1 Balance",860
113,5,"Q1 Balance",1890
114,4,"Q1 Balance",1770
115,3,"Q1 Balance",1804
116,5,"Q1 Balance",1564
117,5,"Q1 Balance",703
118,4,"Q1 Balance",977
119,5,"Q1 Balance",520
120,4,"Q1 Balance",345
121,2,"Q1 Balance",1233
122,5,"Q1 Balance",1997
123,4,"Q1 Balance",1809
124,3,"Q1 Balance",974
125,3,"Q1 Balance",403
126,4,"Q1 Balance",1558
127,4,"Q1 Balance",753
128,3,"Q1 Balance",1029
129,3,"Q1 Balance",941
130,3,"Q1 Balance",439
131,5,"Q1 Balance",287
132,3,"Q1 Balance",820
133,3,"Q1 Balance",1803
134,3,"Q1 Balance",498
135,5,"Q1 Balance",1735
136,3,"Q1 Balance",1849
137,2,"Q1 Balance",404
138,2,"Q1 Balance",983
139,3,"Q1 Balance",63
140,4,"Q1 Balance",67
141,4,"Q1 Balance",1656
142,4,"Q1 Balance",1009
143,3,"Q1 Balance",730
144,3,"Q1 Balance",241
145,3,"Q1 Balance",247
146,4,"Q1 Balance",1446
147,3,"Q1 Balance",311
148,4,"Q1 Balance",696
149,4,"Q1 Balance",128
150,2,"Q1 Balance",1968
151,5,"Q1 Balance",430
152,4,"Q1 Balance",625
153,4,"Q1 Balance",1240
154,1,"Q1 Balance",88
155,4,"Q1 Balance",664
156,2,"Q1 Balance",731
157,3,"Q1 Balance",1688
158,2,"Q1 Balance",1582
159,5,"Q1 Balance",1856
160,5,"Q1 Balance",2090
161,2,"Q1 Balance",330
162,3,"Q1 Balance",206
163,2,"Q1 Balance",834
164,3,"Q1 Balance",2145
165,4,"Q1 Balance",941
166,5,"Q1 Balance",1701
167,3,"Q1 Balance",100
168,3,"Q1 Balance",1797
169,3,"Q1 Balance",327
170,5,"Q1 Balance",235
171,2,"Q1 Balance",887
172,4,"Q1 Balance",1556
173,3,"Q1 Balance",918
174,3,"Q1 Balance",528
175,2,"Q1 Balance",776
176,5,"Q1 Balance",1789
177,4,"Q1 Balance",1988
178,2,"Q1 Balance",1123
179,3,"Q1 Balance",1885
180,2,"Q1 Balance",385
181,3,"Q1 Balance",76
182,3,"Q1 Balance",250
183,2,"Q1 Balance",123
184,5,"Q1 Balance",90
185,3,"Q1 Balance",300
186,6,"Q1 Balance",1787
187,3,"Q1 Balance",1006
188,5,"Q1 Balance",679
189,4,"Q1 Balance",319
190,3,"Q1 Balance",156
191,3,"Q1 Balance",1434
192,3,"Q1 Balance",751
193,4,"Q1 Balance",239
194,3,"Q1 Balance",108
195,3,"Q1 Balance",487
196,3,"Q1 Balance",662
197,2,"Q1 Balance",45
198,3,"Q1 Balance",394
199,2,"Q1 Balance",1621
200,4,"Q1 Balance",738
201,3,"Q1 Balance",445
202,3,"Q1 Balance",1863
203,4,"Q1 Balance",987
204,2,"Q1 Balance",1741
205,4,"Q1 Balance",1197
206,3,"Q1 Balance",1714
207,5,"Q1 Balance",818
208,4,"Q1 Balance",1363
209,4,"Q1 Balance",732
210,3,"Q1 Balance",155
211,3,"Q1 Balance",405
212,3,"Q1 Balance",906
213,3,"Q1 Balance",646
214,5,"Q1 Balance",1972
215,4,"Q1 Balance",1752
216,2,"Q1 Balance",704
217,3,"Q1 Balance",1658
218,4,"Q1 Balance",1624
219,5,"Q1 Balance",423
220,4,"Q1 Balance",1275
221,4,"Q1 Balance",1889
222,5,"Q1 Balance",238
223,6,"Q1 Balance",100
224,6,"Q1 Balance",1619
225,3,"Q1 Balance",675
226,4,"Q1 Balance",1757
227,5,"Q1 Balance",945
228,4,"Q1 Balance",104
229,4,"Q1 Balance",586
230,4,"Q1 Balance",310
231,4,"Q1 Balance",189
232,3,"Q1 Balance",188
233,1,"Q1 Balance",2196
234,3,"Q1 Balance",514
235,3,"Q1 Balance",1043
236,3,"Q1 Balance",274
237,3,"Q1 Balance",1175
238,3,"Q1 Balance",32
239,2,"Q1 Balance",1519
240,5,"Q1 Balance",108
241,4,"Q1 Balance",1206
242,4,"Q1 Balance",1861
243,3,"Q1 Balance",207
244,3,"Q1 Balance",1405
245,5,"Q1 Balance",865
246,4,"Q1 Balance",765
247,3,"Q1 Balance",1274
248,2,"Q1 Balance",1583
249,4,"Q1 Balance",954
250,3,"Q1 Balance",65
251,5,"Q1 Balance",438
252,4,"Q1 Balance",115
253,1,"Q1 Balance",1422
254,3,"Q1 Balance",989
255,2,"Q1 Balance",1757
256,3,"Q1 Balance",332
257,5,"Q1 Balance",302
258,1,"Q1 Balance",190
259,3,"Q1 Balance",758
260,5,"Q1 Balance",947
261,6,"Q1 Balance",1613
262,2,"Q1 Balance",370
263,3,"Q1 Balance",679
264,4,"Q1 Balance",1720
265,2,"Q1 Balance",1395
266,3,"Q1 Balance",1989
267,3,"Q1 Balance",518
268,3,"Q1 Balance",338
269,3,"Q1 Balance",507
270,4,"Q1 Balance",1958
271,1,"Q1 Balance",987
272,2,"Q1 Balance",641
273,3,"Q1 Balance",1729
274,4,"Q1 Balance",958
275,4,"Q1 Balance",394
276,3,"Q1 Balance",522
277,3,"Q1 Balance",1241
278,1,"Q1 Balance",1709
279,4,"Q1 Balance",94
280,3,"Q1 Balance",247
281,3,"Q1 Balance",829
282,4,"Q1 Balance",1414
283,4,"Q1 Balance",593
284,3,"Q1 Balance",242
285,5,"Q1 Balance",929
286,3,"Q1 Balance",950
287,3,"Q1 Balance",2162
288,3,"Q1 Balance",1302
289,4,"Q1 Balance",355
290,1,"Q1 Balance",417
291,4,"Q1 Balance",690
292,3,"Q1 Balance",915
293,4,"Q1 Balance",394
294,3,"Q1 Balance",1798
295,5,"Q1 Balance",878
296,4,"Q1 Balance",1658
297,4,"Q1 Balance",560
298,4,"Q1 Balance",641
299,3,"Q1 Balance",50
300,2,"Q1 Balance",1875
301,4,"Q1 Balance",1688
302,5,"Q1 Balance",599
303,4,"Q1 Balance",410
304,5,"Q1 Balance",855
305,5,"Q1 Balance",1653
306,3,"Q1 Balance",1588
307,4,"Q1 Balance",417
308,4,"Q1 Balance",1943
309,2,"Q1 Balance",1316
310,3,"Q1 Balance",402
311,5,"Q1 Balance",874
312,3,"Q1 Balance",1019
313,2,"Q1 Balance",873
314,2,"Q1 Balance",1901
315,4,"Q1 Balance",90
316,4,"Q1 Balance",1234
317,4,"Q1 Balance",1393
318,5,"Q1 Balance",731
319,5,"Q1 Balance",877
320,4,"Q1 Balance",265
321,4,"Q1 Balance",1657
322,3,"Q1 Balance",962
323,4,"Q1 Balance",713
324,4,"Q1 Balance",NULL
325,4,"Q1 Balance",656
326,5,"Q1 Balance",1869
327,4,"Q1 Balance",528
328,3,"Q1 Balance",664
329,2,"Q1 Balance",1749
330,5,"Q1 Balance",1769
331,5,"Q1 Balance",879
332,3,"Q1 Balance",2181
333,2,"Q1 Balance",185
334,3,"Q1 Balance",1503
335,4,"Q1 Balance",391
336,2,"Q1 Balance",643
337,3,"Q1 Balance",948
338,4,"Q1 Balance",614
339,3,"Q1 Balance",1765
340,2,"Q1 Balance",647
341,4,"Q1 Balance",1678
342,2,"Q1 Balance",1407
343,5,"Q1 Balance",1626
344,4,"Q1 Balance",1813
345,2,"Q1 Balance",1170
346,5,"Q1 Balance",452
347,3,"Q1 Balance",1622
348,4,"Q1 Balance",1201
349,5,"Q1 Balance",57
350,4,"Q1 Balance",621
351,4,"Q1 Balance",584
352,4,"Q1 Balance",1535
353,3,"Q1 Balance",137
354,5,"Q1 Balance",1783
355,4,"Q1 Balance",1783
356,3,"Q1 Balance",67
357,5,"Q1 Balance",246
358,6,"Q1 Balance",1661
359,3,"Q1 Balance",1214
360,3,"Q1 Balance",294
361,3,"Q1 Balance",317
362,3,"Q1 Balance",1124
363,2,"Q1 Balance",1914
364,4,"Q1 Balance",1789
365,3,"Q1 Balance",327
366,3,"Q1 Balance",1575
367,3,"Q1 Balance",1995
368,3,"Q1 Balance",982
369,4,"Q1 Balance",344
370,5,"Q1 Balance",1242
371,3,"Q1 Balance",545
372,3,"Q1 Balance",2121
373,4,"Q1 Balance",1719
374,2,"Q1 Balance",1007
375,4,"Q1 Balance",1506
376,3,"Q1 Balance",414
377,3,"Q1 Balance",144
378,4,"Q1 Balance",223
379,3,"Q1 Balance",342
380,2,"Q1 Balance",2027
381,4,"Q1 Balance",1671
382,3,"Q1 Balance",290
383,2,"Q1 Balance",1790
384,3,"Q1 Balance",1661
385,5,"Q1 Balance",1323
386,4,"Q1 Balance",522
387,3,"Q1 Balance",1486
388,3,"Q1 Balance",126
389,4,"Q1 Balance",480
390,5,"Q1 Balance",1828
391,4,"Q1 Balance",1459
392,3,"Q1 Balance",184
393,4,"Q1 Balance",1640
394,2,"Q1 Balance",61
395,1,"Q1 Balance",561
396,4,"Q1 Balance",525
397,4,"Q1 Balance",1650
398,5,"Q1 Balance",284
399,4,"Q1 Balance",1414
400,3,"Q1 Balance",259
401,3,"Q1 Balance",1275
402,5,"Q1 Balance",191
403,4,"Q1 Balance",2180
404,3,"Q1 Balance",940
405,3,"Q1 Balance",631
406,4,"Q1 Balance",712
407,4,"Q1 Balance",152
408,2,"Q1 Balance",1867
409,1,"Q1 Balance",536
410,3,"Q1 Balance",370
411,4,"Q1 Balance",179
412,3,"Q1 Balance",157
413,3,"Q1 Balance",556
414,3,"Q1 Balance",707
415,4,"Q1 Balance",459
416,1,"Q1 Balance",813
417,3,"Q1 Balance",907
418,3,"Q1 Balance",324
419,3,"Q1 Balance",220
420,4,"Q1 Balance",1244
421,3,"Q1 Balance",225
422,2,"Q1 Balance",1794
423,3,"Q1 Balance",1112
424,4,"Q1 Balance",1873
425,5,"Q1 Balance",527
426,5,"Q1 Balance",149
427,4,"Q1 Balance",594
428,4,"Q1 Balance",597
429,5,"Q1 Balance",570
430,4,"Q1 Balance",1781
431,4,"Q1 Balance",160
432,3,"Q1 Balance",1604
433,5,"Q1 Balance",885
434,4,"Q1 Balance",931
435,3,"Q1 Balance",1870
436,4,"Q1 Balance",1612
437,5,"Q1 Balance",822
438,2,"Q1 Balance",500
439,3,"Q1 Balance",144
440,3,"Q1 Balance",1924
441,5,"Q1 Balance",1343
442,4,"Q1 Balance",177
443,6,"Q1 Balance",1615
444,4,"Q1 Balance",704
445,2,"Q1 Balance",210
446,4,"Q1 Balance",339
447,3,"Q1 Balance",174
448,4,"Q1 Balance",1612
449,4,"Q1 Balance",1083
450,4,"Q1 Balance",136
451,5,"Q1 Balance",941
452,3,"Q1 Balance",1638
453,6,"Q1 Balance",50
454,2,"Q1 Balance",1273
455,3,"Q1 Balance",381
456,3,"Q1 Balance",582
457,2,"Q1 Balance",449
458,2,"Q1 Balance",1757
459,4,"Q1 Balance",488
460,3,"Q1 Balance",791
461,4,"Q1 Balance",164
462,3,"Q1 Balance",561
463,3,"Q1 Balance",1287
464,4,"Q1 Balance",359
465,3,"Q1 Balance",235
466,4,"Q1 Balance",2114
467,4,"Q1 Balance",137
468,3,"Q1 Balance",955
469,4,"Q1 Balance",1227
470,4,"Q1 Balance",542
471,5,"Q1 Balance",1514
472,5,"Q1 Balance",1744
473,3,"Q1 Balance",1954
474,4,"Q1 Balance",298
475,3,"Q1 Balance",361
476,5,"Q1 Balance",1403
477,3,"Q1 Balance",602
478,3,"Q1 Balance",1364
479,2,"Q1 Balance",2017
480,4,"Q1 Balance",673
481,5,"Q1 Balance",880
482,1,"Q1 Balance",710
483,2,"Q1 Balance",611
484,4,"Q1 Balance",1385
485,2,"Q1 Balance",1568
486,2,"Q1 Balance",671
487,6,"Q1 Balance",1813
488,5,"Q1 Balance",962
489,3,"Q1 Balance",874
490,5,"Q1 Balance",410
491,3,"Q1 Balance",576
492,3,"Q1 Balance",1858
493,2,"Q1 Balance",445
494,4,"Q1 Balance",454
495,2,"Q1 Balance",517
496,4,"Q1 Balance",302
497,4,"Q1 Balance",900
498,3,"Q1 Balance",321
499,3,"Q1 Balance",785
500,2,"Q1 Balance",1786
501,3,"Q1 Balance",1474
502,3,"Q1 Balance",178
503,1,"Q1 Balance",391
504,3,"Q1 Balance",110
505,4,"Q1 Balance",753
506,5,"Q1 Balance",1480
507,4,"Q1 Balance",303
508,4,"Q1 Balance",725
509,4,"Q1 Balance",979
510,3,"Q1 Balance",1805
511,3,"Q1 Balance",41
512,5,"Q1 Balance",903
513,4,"Q1 Balance",1721
514,2,"Q1 Balance",1510
515,4,"Q1 Balance",1933
516,4,"Q1 Balance",1526
517,2,"Q1 Balance",400
518,5,"Q1 Balance",32
519,3,"Q1 Balance",1790
520,4,"Q1 Balance",278
521,4,"Q1 Balance",471
522,4,"Q1 Balance",191
523,3,"Q1 Balance",1054
524,4,"Q1 Balance",599
525,3,"Q1 Balance",1660
526,3,"Q1 Balance",636
527,3,"Q1 Balance",1954
528,3,"Q1 Balance",238
529,2,"Q1 Balance",295
530,6,"Q1 Balance",216
531,3,"Q1 Balance",657
532,4,"Q1 Balance",135
533,4,"Q1 Balance",461
534,3,"Q1 Balance",1992
535,4,"Q1 Balance",197
536,2,"Q1 Balance",1204
537,4,"Q1 Balance",712
538,3,"Q1 Balance",143
539,3,"Q1 Balance",811
540,4,"Q1 Balance",756
541,2,"Q1 Balance",112
542,5,"Q1 Balance",321
543,2,"Q1 Balance",611
544,5,"Q1 Balance",756
545,5,"Q1 Balance",464
546,3,"Q1 Balance",462
547,4,"Q1 Balance",367
548,4,"Q1 Balance",1655
549,5,"Q1 Balance",582
550,5,"Q1 Balance",429
551,4,"Q1 Balance",912
552,6,"Q1 Balance",447
553,4,"Q1 Balance",1495
554,2,"Q1 Balance",1675
555,4,"Q1 Balance",1278
556,4,"Q1 Balance",2029
557,4,"Q1 Balance",90
558,2,"Q1 Balance",799
559,5,"Q1 Balance",553
560,3,"Q1 Balance",491
561,5,"Q1 Balance",368
562,3,"Q1 Balance",1626
563,4,"Q1 Balance",552
564,4,"Q1 Balance",1568
565,5,"Q1 Balance",1468
566,4,"Q1 Balance",24
567,4,"Q1 Balance",97
568,4,"Q1 Balance",1774
569,3,"Q1 Balance",68
570,5,"Q1 Balance",409
571,4,"Q1 Balance",1690
572,5,"Q1 Balance",951
573,5,"Q1 Balance",1647
574,2,"Q1 Balance",677
575,4,"Q1 Balance",679
576,5,"Q1 Balance",1597
577,4,"Q1 Balance",864
578,3,"Q1 Balance",108
579,4,"Q1 Balance",1851
580,3,"Q1 Balance",799
581,3,"Q1 Balance",1531
582,6,"Q1 Balance",121
583,3,"Q1 Balance",1592
584,2,"Q1 Balance",394
585,3,"Q1 Balance",741
586,4,"Q1 Balance",2025
587,4,"Q1 Balance",749
588,2,"Q1 Balance",395
589,3,"Q1 Balance",372
590,1,"Q1 Balance",251
591,3,"Q1 Balance",752
592,3,"Q1 Balance",85
593,3,"Q1 Balance",1490
594,2,"Q1 Balance",1696
595,4,"Q1 Balance",683
596,3,"Q1 Balance",646
597,4,"Q1 Balance",748
598,2,"Q1 Balance",144
599,2,"Q1 Balance",516
600,2,"Q1 Balance",852
601,4,"Q1 Balance",819
602,2,"Q1 Balance",194
603,4,"Q1 Balance",1883
604,3,"Q1 Balance",714
605,3,"Q1 Balance",625
606,4,"Q1 Balance",389
607,5,"Q1 Balance",1588
608,3,"Q1 Balance",215
609,2,"Q1 Balance",1324
610,3,"Q1 Balance",772
611,5,"Q1 Balance",665
612,4,"Q1 Balance",796
613,3,"Q1 Balance",179
614,4,"Q1 Balance",1797
615,4,"Q1 Balance",1907
616,3,"Q1 Balance",281
617,5,"Q1 Balance",426
618,3,"Q1 Balance",950
619,5,"Q1 Balance",152
620,4,"Q1 Balance",200
621,3,"Q1 Balance",551
622,2,"Q1 Balance",1681
623,5,"Q1 Balance",1987
624,3,"Q1 Balance",105
625,3,"Q1 Balance",1139
626,3,"Q1 Balance",485
627,4,"Q1 Balance",1225
628,6,"Q1 Balance",1524
629,5,"Q1 Balance",1173
630,4,"Q1 Balance",295
631,4,"Q1 Balance",1557
632,5,"Q1 Balance",812
633,4,"Q1 Balance",870
634,4,"Q1 Balance",1326
635,4,"Q1 Balance",740
636,4,"Q1 Balance",2124
637,2,"Q1 Balance",229
638,5,"Q1 Balance",482
639,4,"Q1 Balance",1829
640,3,"Q1 Balance",325
641,2,"Q1 Balance",1657
642,3,"Q1 Balance",139
643,3,"Q1 Balance",425
644,4,"Q1 Balance",2115
645,2,"Q1 Balance",619
646,3,"Q1 Balance",919
647,2,"Q1 Balance",800
648,3,"Q1 Balance",2184
649,3,"Q1 Balance",1870
650,4,"Q1 Balance",187
651,2,"Q1 Balance",1332
652,3,"Q1 Balance",960
653,5,"Q1 Balance",207
654,3,"Q1 Balance",1775
655,3,"Q1 Balance",1611
656,4,"Q1 Balance",804
657,6,"Q1 Balance",2174
658,3,"Q1 Balance",1515
659,4,"Q1 Balance",957
660,3,"Q1 Balance",708
661,4,"Q1 Balance",868
662,4,"Q1 Balance",197
663,4,"Q1 Balance",1326
664,2,"Q1 Balance",1718
665,3,"Q1 Balance",856
666,4,"Q1 Balance",127
667,6,"Q1 Balance",557
668,3,"Q1 Balance",655
669,3,"Q1 Balance",2133
670,6,"Q1 Balance",145
671,4,"Q1 Balance",1784
672,4,"Q1 Balance",1817
673,3,"Q1 Balance",2023
674,4,"Q1 Balance",425
675,4,"Q1 Balance",228
676,4,"Q1 Balance",1900
677,3,"Q1 Balance",1286
678,1,"Q1 Balance",920
679,3,"Q1 Balance",403
680,3,"Q1 Balance",587
681,4,"Q1 Balance",543
682,3,"Q1 Balance",453
683,4,"Q1 Balance",772
684,2,"Q1 Balance",697
685,4,"Q1 Balance",2192
686,4,"Q1 Balance",801
687,3,"Q1 Balance",184
688,2,"Q1 Balance",1874
689,5,"Q1 Balance",1030
690,5,"Q1 Balance",972
691,4,"Q1 Balance",252
692,3,"Q1 Balance",1446
693,3,"Q1 Balance",536
694,3,"Q1 Balance",264
695,3,"Q1 Balance",1301
696,3,"Q1 Balance",999
697,4,"Q1 Balance",387
698,4,"Q1 Balance",1781
699,3,"Q1 Balance",1690
700,3,"Q1 Balance",713
701,5,"Q1 Balance",2154
702,3,"Q1 Balance",608
703,5,"Q1 Balance",841
704,4,"Q1 Balance",45
705,5,"Q1 Balance",720
706,5,"Q1 Balance",239
707,4,"Q1 Balance",1714
708,4,"Q1 Balance",884
709,3,"Q1 Balance",252
710,3,"Q1 Balance",440
711,3,"Q1 Balance",1368
712,4,"Q1 Balance",940
713,3,"Q1 Balance",975
714,3,"Q1 Balance",949
715,4,"Q1 Balance",825
716,4,"Q1 Balance",1428
717,4,"Q1 Balance",207
718,4,"Q1 Balance",250
719,2,"Q1 Balance",131
720,3,"Q1 Balance",1263
721,3,"Q1 Balance",307
722,4,"Q1 Balance",140
723,3,"Q1 Balance",124
724,2,"Q1 Balance",275
725,5,"Q1 Balance",1113
726,5,"Q1 Balance",1371
727,3,"Q1 Balance",655
728,5,"Q1 Balance",299
729,5,"Q1 Balance",814
730,3,"Q1 Balance",645
731,5,"Q1 Balance",330
732,4,"Q1 Balance",867
733,4,"Q1 Balance",1973
734,2,"Q1 Balance",977
735,2,"Q1 Balance",953
736,3,"Q1 Balance",698
737,3,"Q1 Balance",1933
738,3,"Q1 Balance",897
739,3,"Q1 Balance",221
740,4,"Q1 Balance",1548
741,2,"Q1 Balance",1736
742,4,"Q1 Balance",586
743,3,"Q1 Balance",1631
744,4,"Q1 Balance",2147
745,3,"Q1 Balance",322
746,2,"Q1 Balance",1818
747,3,"Q1 Balance",729
748,3,"Q1 Balance",2016
749,2,"Q1 Balance",258
750,3,"Q1 Balance",909
751,2,"Q1 Balance",451
752,3,"Q1 Balance",1603
753,4,"Q1 Balance",340
754,1,"Q1 Balance",522
755,2,"Q1 Balance",1672
756,4,"Q1 Balance",1346
757,5,"Q1 Balance",1905
758,4,"Q1 Balance",381
759,4,"Q1 Balance",532
760,3,"Q1 Balance",2085
761,3,"Q1 Balance",1763
762,3,"Q1 Balance",949
763,1,"Q1 Balance",220
764,5,"Q1 Balance",347
765,4,"Q1 Balance",365
766,4,"Q1 Balance",1614
767,2,"Q1 Balance",182
768,6,"Q1 Balance",101
769,3,"Q1 Balance",929
770,3,"Q1 Balance",644
771,2,"Q1 Balance",928
772,3,"Q1 Balance",1519
773,3,"Q1 Balance",313
774,2,"Q1 Balance",1422
775,5,"Q1 Balance",1043
776,3,"Q1 Balance",834
777,3,"Q1 Balance",323
778,1,"Q1 Balance",1508
779,4,"Q1 Balance",896
780,5,"Q1 Balance",730
781,2,"Q1 Balance",806
782,3,"Q1 Balance",708
783,4,"Q1 Balance",307
784,4,"Q1 Balance",1293
785,3,"Q1 Balance",378
786,5,"Q1 Balance",1798
787,5,"Q1 Balance",788
788,1,"Q1 Balance",95
789,2,"Q1 Balance",1695
790,5,"Q1 Balance",1907
791,4,"Q1 Balance",1716
792,4,"Q1 Balance",658
793,2,"Q1 Balance",348
794,4,"Q1 Balance",1329
795,3,"Q1 Balance",1417
796,3,"Q1 Balance",145
797,3,"Q1 Balance",856
798,4,"Q1 Balance",575
799,2,"Q1 Balance",917
800,2,"Q1 Balance",43
801,4,"Q1 Balance",144
802,3,"Q1 Balance",233
803,3,"Q1 Balance",28
804,2,"Q1 Balance",712
805,5,"Q1 Balance",954
806,4,"Q1 Balance",1889
807,6,"Q1 Balance",507
808,3,"Q1 Balance",249
809,4,"Q1 Balance",1384
810,1,"Q1 Balance",2077
811,3,"Q1 Balance",714
812,4,"Q1 Balance",340
813,3,"Q1 Balance",1239
814,3,"Q1 Balance",1246
815,5,"Q1 Balance",2100
816,4,"Q1 Balance",230
817,3,"Q1 Balance",1256
818,4,"Q1 Balance",680
819,4,"Q1 Balance",539
820,4,"Q1 Balance",1201
821,2,"Q1 Balance",53
822,2,"Q1 Balance",610
823,4,"Q1 Balance",823
824,4,"Q1 Balance",135
825,4,"Q1 Balance",169
826,4,"Q1 Balance",796
827,3,"Q1 Balance",642
828,2,"Q1 Balance",1118
829,4,"Q1 Balance",492
830,3,"Q1 Balance",433
831,3,"Q1 Balance",983
832,3,"Q1 Balance",303
833,4,"Q1 Balance",149
834,1,"Q1 Balance",1677
835,4,"Q1 Balance",2025
836,3,"Q1 Balance",1959
837,3,"Q1 Balance",554
838,6,"Q1 Balance",868
839,2,"Q1 Balance",626
840,4,"Q1 Balance",35
841,2,"Q1 Balance",483
842,3,"Q1 Balance",110
843,2,"Q1 Balance",413
844,4,"Q1 Balance",526
845,4,"Q1 Balance",25
846,4,"Q1 Balance",275
847,3,"Q1 Balance",150
848,3,"Q1 Balance",1964
849,4,"Q1 Balance",397
850,5,"Q1 Balance",1023
851,4,"Q1 Balance",1780
852,3,"Q1 Balance",402
853,2,"Q1 Balance",1335
854,4,"Q1 Balance",1990
855,3,"Q1 Balance",372
856,2,"Q1 Balance",1762
857,3,"Q1 Balance",1675
858,4,"Q1 Balance",440
859,3,"Q1 Balance",1182
860,2,"Q1 Balance",769
861,3,"Q1 Balance",1659
862,4,"Q1 Balance",43
863,4,"Q1 Balance",188
864,2,"Q1 Balance",450
865,2,"Q1 Balance",1025
866,4,"Q1 Balance",942
867,3,"Q1 Balance",2153
868,4,"Q1 Balance",554
869,2,"Q1 Balance",196
870,4,"Q1 Balance",1512
871,3,"Q1 Balance",147
872,2,"Q1 Balance",29
873,4,"Q1 Balance",413
874,4,"Q1 Balance",669
875,2,"Q1 Balance",826
876,3,"Q1 Balance",122
877,4,"Q1 Balance",1550
878,3,"Q1 Balance",997
879,3,"Q1 Balance",1624
880,3,"Q1 Balance",954
881,4,"Q1 Balance",776
882,5,"Q1 Balance",733
883,4,"Q1 Balance",1547
884,3,"Q1 Balance",417
885,4,"Q1 Balance",830
886,3,"Q1 Balance",25
887,4,"Q1 Balance",197
888,4,"Q1 Balance",1678
889,4,"Q1 Balance",262
890,5,"Q1 Balance",101
891,4,"Q1 Balance",1897
892,4,"Q1 Balance",930
893,1,"Q1 Balance",66
894,4,"Q1 Balance",168
895,2,"Q1 Balance",413
896,3,"Q1 Balance",715
897,3,"Q1 Balance",2177
898,3,"Q1 Balance",1555
899,3,"Q1 Balance",708
900,6,"Q1 Balance",67
901,4,"Q1 Balance",533
902,3,"Q1 Balance",21
903,3,"Q1 Balance",596
904,4,"Q1 Balance",697
905,5,"Q1 Balance",976
906,4,"Q1 Balance",842
907,4,"Q1 Balance",52
908,3,"Q1 Balance",701
